id,filepath,filename,extension,frontmatter_status,frontmatter
57,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes\Épocas (Ente),Épocas (Ente),,,
58,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\40 - Meta\40 - Meta.md,40 - Meta,.md,FrontmatterStatus.VALID,{'categorias': ['[[Braços do Vault (Categoria)]]']}
59,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\40 - Meta\Estabelecimento de Propriedades,Estabelecimento de Propriedades,,,
60,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\40 - Meta\Templates,Templates,,,
61,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\50 - Movimentos.md,50 - Movimentos,.md,FrontmatterStatus.VALID,"{'aliases': None, 'categorias': ['[[Braços do Vault (Categoria)]]'], 'modified': '2026-03-20 23:05:42', 'created': '2026-03-09 13:28:21'}"
62,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Anotações Soltas Mensais (ANSM) (Movimento),Anotações Soltas Mensais (ANSM) (Movimento),,,
63,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Computação (Movimento),Computação (Movimento),,,
64,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Estágio (Movimento),Estágio (Movimento),,,
65,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Exercícios Físicos (Movimento),Exercícios Físicos (Movimento),,,
66,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Faculdade (Movimento),Faculdade (Movimento),,,
67,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Física (Movimento),Física (Movimento),,,
68,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Matemática (Movimento),Matemática (Movimento),,,
69,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Meta-organização (Movimento),Meta-organização (Movimento),,,
70,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\Mídias (Movimento),Mídias (Movimento),,,
71,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos\OpenFOAM (Movimento),OpenFOAM (Movimento),,,
